content_id,creator_id,content_type,created_timestamp,time_sensitivity
C0354,30,SHORT,22,Low
C0355,38,LONG,3,Medium
C0356,10,SHORT,18,Low
C0357,38,SHORT,3,Low
C0358,50,SHORT,9,Low
C0359,23,LONG,8,Medium
C0360,42,LONG,18,Low
C0361,31,SHORT,5,Medium
C0362,26,SHORT,19,Low
C0363,44,LONG,1,Medium
C0364,22,SHORT,1,Low
C0365,31,LONG,11,High
C0366,22,LONG,9,Medium
C0367,32,SHORT,7,High
C0368,20,LONG,10,Medium
C0369,47,LONG,19,Low
C0370,6,SHORT,14,High
C0371,27,LONG,16,Medium
C0372,4,SHORT,2,Medium
C0373,46,LONG,4,Low
C0374,37,SHORT,5,High
C0375,13,SHORT,7,High
C0376,30,SHORT,11,Low
C0377,13,LONG,11,Medium
C0378,33,LONG,20,High
C0379,44,SHORT,7,Medium
C0380,32,LONG,5,Medium
C0381,38,LONG,11,High
C0382,17,SHORT,9,High
C0383,25,SHORT,5,Low
C0384,50,SHORT,7,Low
C0385,15,SHORT,8,Low
C0386,27,SHORT,21,High
C0387,31,SHORT,20,High
C0388,39,SHORT,7,Medium
C0389,39,LONG,22,Low
C0390,42,LONG,13,Medium
C0391,23,LONG,8,High
C0392,30,LONG,21,Low
C0393,40,LONG,18,High
C0394,1,LONG,17,Low
C0395,39,LONG,9,Low
C0396,7,LONG,2,Medium
C0397,18,LONG,8,Medium
C0398,42,LONG,6,High
C0399,34,SHORT,1,Low
C0400,26,LONG,21,High
C0401,47,SHORT,20,Medium
C0402,19,LONG,13,Medium
C0403,25,SHORT,18,Low
C0404,37,SHORT,10,Low
C0405,46,SHORT,21,Low
C0406,41,LONG,21,Medium
C0407,33,LONG,5,Low
C0408,36,SHORT,9,High
C0409,31,SHORT,23,Medium
C0410,47,SHORT,21,Medium
C0411,42,SHORT,7,Medium
C0412,15,LONG,13,Medium
C0413,24,LONG,18,Medium
C0414,30,SHORT,15,High
C0415,41,SHORT,15,High
C0416,33,SHORT,21,Medium
C0417,34,LONG,13,High
C0418,10,SHORT,6,Medium
C0419,27,LONG,4,Medium
C0420,46,SHORT,2,Medium
C0421,22,SHORT,10,Low
C0422,4,SHORT,14,Medium
C0423,14,SHORT,18,High
C0424,32,SHORT,4,Low
C0425,28,LONG,12,Medium
C0426,31,LONG,0,High
C0427,35,SHORT,23,Medium
C0428,1,LONG,16,High
C0429,2,SHORT,20,Low
C0430,16,SHORT,22,Medium
C0431,20,SHORT,3,Medium
C0432,33,LONG,5,High
C0433,3,LONG,9,Medium
C0434,47,LONG,13,Low
C0435,9,LONG,15,Medium
C0436,49,SHORT,5,Medium
C0437,2,SHORT,7,Low
C0438,9,SHORT,23,High
C0439,38,SHORT,3,Medium
C0440,46,SHORT,12,Low
C0441,17,SHORT,19,High
C0442,43,SHORT,20,High
C0443,4,SHORT,13,Medium
C0444,25,SHORT,17,Medium
C0445,31,SHORT,6,Low
C0446,44,SHORT,9,Medium
C0447,43,SHORT,21,Low
C0448,18,SHORT,13,High
C0449,33,SHORT,9,High
C0450,7,LONG,6,Low
C0451,13,LONG,16,High
C0452,23,LONG,9,High
C0453,3,LONG,6,Low
C0454,31,LONG,7,High
C0455,1,SHORT,3,Low
C0456,43,LONG,4,High
C0457,50,SHORT,23,Low
C0458,7,LONG,20,High
C0459,30,LONG,8,Medium
C0460,4,SHORT,5,High
C0461,19,LONG,21,Medium
C0462,28,SHORT,3,High
C0463,1,SHORT,21,Low
C0464,11,LONG,11,Medium
C0465,40,LONG,23,High
C0466,24,LONG,5,High
C0467,26,LONG,14,Medium
C0468,25,LONG,13,Low
C0469,11,SHORT,4,Low
C0470,47,SHORT,5,High
C0471,27,LONG,18,Low
C0472,29,SHORT,19,Medium
C0473,50,LONG,19,High
C0474,44,SHORT,15,Medium
C0475,8,LONG,14,High
C0476,5,LONG,20,Medium
C0477,1,SHORT,21,Medium
C0478,34,SHORT,13,Low
C0479,47,SHORT,15,Medium
C0480,43,LONG,4,Low
C0481,40,SHORT,0,Low
C0482,11,LONG,15,High
C0483,5,LONG,10,High
C0484,22,LONG,1,Low
C0485,15,LONG,12,High
C0486,6,LONG,14,Low
C0487,29,SHORT,15,Medium
C0488,21,SHORT,15,Low
C0489,42,SHORT,3,Medium
C0490,27,SHORT,17,Low
C0491,1,SHORT,19,Low
C0492,41,LONG,16,Low
C0493,14,LONG,10,Medium
C0494,4,SHORT,14,Medium
C0495,36,LONG,22,Low
C0496,24,LONG,3,High
C0497,49,SHORT,0,Medium
C0498,23,LONG,17,Low
C0499,24,SHORT,1,High
C0500,32,SHORT,22,Low
C0501,47,LONG,3,Medium
C0502,40,SHORT,6,High
C0503,26,SHORT,14,High
C0504,46,LONG,3,Medium
C0505,3,SHORT,14,Medium
C0506,43,SHORT,15,High
C0507,34,SHORT,17,Medium
C0508,38,LONG,16,High
C0509,45,SHORT,23,High
C0510,7,LONG,21,Low
C0511,39,LONG,16,Medium
C0512,27,SHORT,8,Medium
C0513,22,LONG,14,High
C0514,9,LONG,19,Low
C0515,48,LONG,22,Low
C0516,21,SHORT,6,High
C0517,40,LONG,21,Medium
C0518,44,SHORT,22,Low
C0519,12,LONG,22,High
C0520,49,LONG,17,Medium
C0521,38,LONG,21,Low
C0522,35,LONG,13,High
C0523,34,SHORT,0,Medium
C0524,10,SHORT,21,High
C0525,13,LONG,5,Medium
C0526,44,LONG,4,High
C0527,45,LONG,6,Low
C0528,3,LONG,14,High
C0529,40,SHORT,23,Low
C0530,36,LONG,7,Low
C0531,45,LONG,22,Low
C0532,4,LONG,12,Medium
C0533,44,LONG,17,High
C0534,1,LONG,6,Low
C0535,50,LONG,7,Low
C0536,46,LONG,18,Low
C0537,48,SHORT,23,High
C0538,19,LONG,5,Low
C0539,5,SHORT,5,Low
C0540,33,SHORT,12,High
C0541,28,LONG,17,Medium
C0542,9,SHORT,18,Medium
C0543,1,LONG,14,Low
C0544,10,SHORT,4,Medium
C0545,39,SHORT,20,Low
C0546,43,LONG,15,Low
C0547,36,LONG,2,Low
C0548,21,SHORT,5,Low
C0549,5,SHORT,13,Low
C0550,35,LONG,2,Medium
C0551,15,SHORT,21,Medium
C0552,22,LONG,9,High
C0553,49,LONG,17,Low
C0554,1,SHORT,21,Medium
C0555,29,SHORT,20,Low
C0556,40,SHORT,1,Low
C0557,21,LONG,3,Medium
C0558,17,LONG,0,Low
C0559,50,LONG,16,Low
C0560,29,LONG,1,Medium
C0561,42,SHORT,10,Low
C0562,6,SHORT,5,Low
C0563,35,SHORT,20,High
C0564,14,SHORT,21,Medium
C0565,7,SHORT,17,Low
C0566,48,LONG,20,High
C0567,48,SHORT,0,Medium
C0568,46,LONG,1,High
C0569,5,SHORT,5,Medium
C0570,36,SHORT,18,High
C0571,17,LONG,12,Medium
C0572,41,LONG,13,Medium
C0573,2,LONG,21,High
C0574,35,SHORT,20,Low
C0575,40,SHORT,23,Low
C0576,3,SHORT,11,Low
C0577,7,LONG,21,Medium
C0578,39,SHORT,9,Medium
C0579,25,LONG,21,High
C0580,31,SHORT,17,High
C0581,9,LONG,17,Medium
C0582,41,SHORT,9,Low
C0583,47,LONG,0,Low
C0584,36,SHORT,3,High
C0585,1,LONG,17,Low
C0586,6,LONG,6,Low
C0587,48,LONG,6,Medium
C0588,42,SHORT,5,High
C0589,15,LONG,6,High
C0590,12,SHORT,17,Medium
C0591,42,SHORT,9,Low
C0592,5,LONG,3,High
C0593,47,LONG,10,Medium
C0594,9,SHORT,3,Medium
C0595,40,SHORT,6,Medium
C0596,32,LONG,10,Low
C0597,43,LONG,22,Low
C0598,10,LONG,10,Medium
C0599,11,SHORT,10,High
C0600,15,LONG,8,Medium
C0601,9,LONG,15,Medium
C0602,29,LONG,9,Medium
C0603,36,SHORT,5,Low
C0604,39,SHORT,8,High
C0605,35,SHORT,8,Low
C0606,41,SHORT,23,High
C0607,2,SHORT,18,Low
C0608,26,SHORT,1,Low
C0609,17,LONG,20,High
C0610,24,LONG,7,Low
C0611,47,LONG,4,Medium
C0612,33,SHORT,12,Medium
C0613,33,SHORT,21,High
C0614,40,SHORT,16,High
C0615,29,SHORT,5,Low
C0616,37,SHORT,23,Low
C0617,31,LONG,1,High
C0618,49,LONG,7,High
C0619,17,LONG,7,High
C0620,43,SHORT,16,Medium
C0621,25,LONG,14,High
C0622,3,LONG,3,Low
C0623,34,LONG,23,Medium
C0624,38,SHORT,12,Low
C0625,25,LONG,18,Low
C0626,5,LONG,12,High
C0627,34,LONG,11,Medium
C0628,32,LONG,19,High
C0629,33,SHORT,14,High
C0630,15,SHORT,16,Low
C0631,18,SHORT,4,High
C0632,11,LONG,19,Low
C0633,8,SHORT,13,Medium
C0634,47,SHORT,15,Low
C0635,31,LONG,6,Low
C0636,11,LONG,0,High
C0637,3,SHORT,18,Low
C0638,11,SHORT,20,Low
C0639,3,SHORT,1,High
C0640,17,SHORT,16,Medium
C0641,39,SHORT,23,Low
C0642,43,LONG,2,High
C0643,29,LONG,15,High
C0644,15,LONG,19,High
C0645,38,SHORT,19,Low
C0646,33,LONG,5,Low
C0647,44,LONG,14,Low
C0648,38,SHORT,7,Medium
C0649,25,SHORT,3,High
C0650,13,LONG,4,Low
C0651,7,SHORT,15,Low
C0652,39,SHORT,17,Low
C0653,49,SHORT,2,Medium
C0654,43,SHORT,19,Low
C0655,1,LONG,16,Medium
C0656,24,SHORT,22,Low
C0657,28,SHORT,15,Medium
C0658,23,SHORT,13,High
C0659,17,LONG,7,High
C0660,19,LONG,8,High
C0661,1,SHORT,18,Low
C0662,8,SHORT,12,Low
C0663,14,LONG,13,Medium
C0664,7,SHORT,13,Low
C0665,38,LONG,8,Low
C0666,28,LONG,19,Medium
C0667,44,LONG,6,Medium
C0668,36,LONG,5,Medium
C0669,36,LONG,8,Medium
C0670,37,LONG,22,Medium
C0671,48,SHORT,21,High
C0672,48,SHORT,14,Low
C0673,11,SHORT,6,Low
C0674,26,LONG,17,Low
C0675,45,SHORT,5,Medium
C0676,41,SHORT,2,High
C0677,31,LONG,2,High
C0678,17,SHORT,11,High
C0679,39,SHORT,23,Medium
C0680,26,LONG,22,Low
C0681,4,SHORT,20,Medium
C0682,29,SHORT,6,Low
C0683,34,LONG,6,High
C0684,39,SHORT,19,High
C0685,44,SHORT,11,High
C0686,42,SHORT,5,High
C0687,18,LONG,11,Low
C0688,26,LONG,18,High
C0689,34,SHORT,23,Low
C0690,5,SHORT,17,Medium
C0691,47,LONG,11,Medium
C0692,15,SHORT,14,Medium
C0693,37,SHORT,8,High
C0694,27,SHORT,17,High
C0695,33,LONG,10,High
C0696,33,LONG,17,Low
C0697,17,LONG,12,Low
C0698,31,SHORT,10,Medium
C0699,44,LONG,18,High
C0700,31,SHORT,8,High
C0701,25,SHORT,21,Low
C0702,15,LONG,13,Medium
C0703,34,SHORT,22,Medium
C0704,16,LONG,2,Medium
C0705,44,LONG,2,Low
C0706,12,LONG,10,Medium
C0707,14,LONG,5,Low
C0708,44,SHORT,15,Low
C0709,13,SHORT,23,High
C0710,17,SHORT,7,High
C0711,16,LONG,4,High
C0712,8,SHORT,21,Low
C0713,32,SHORT,17,High
C0714,31,LONG,19,Medium
C0715,32,LONG,15,High
C0716,49,LONG,12,High
C0717,49,SHORT,1,Low
C0718,28,LONG,17,High
C0719,33,LONG,12,Low
C0720,50,SHORT,14,High
C0721,45,LONG,10,Low
C0722,1,SHORT,21,High
C0723,25,SHORT,10,Medium
C0724,40,LONG,5,Low
C0725,17,SHORT,8,Medium
C0726,40,LONG,11,High
C0727,32,LONG,6,Medium
C0728,45,LONG,11,Medium
C0729,18,LONG,5,Low
C0730,9,SHORT,3,Low
C0731,18,SHORT,17,Medium
C0732,25,SHORT,4,Low
C0733,10,LONG,0,High
C0734,27,LONG,4,Low
C0735,34,LONG,15,Medium
C0736,17,SHORT,12,High
C0737,45,SHORT,1,High
C0738,17,LONG,20,High
C0739,29,LONG,8,Medium
C0740,24,LONG,11,High
C0741,27,SHORT,11,Low
C0742,39,SHORT,18,Low
C0743,42,SHORT,9,Medium
C0744,21,LONG,23,Medium
C0745,6,LONG,19,Medium
C0746,30,SHORT,5,Low
C0747,22,LONG,20,Low
C0748,37,LONG,2,High
C0749,11,LONG,7,Medium
C0750,21,LONG,22,Medium
C0751,39,LONG,8,Medium
C0752,50,LONG,23,Low
C0753,34,LONG,13,High
C0754,12,SHORT,4,Low
C0755,16,LONG,23,Low
C0756,48,SHORT,6,High
C0757,26,SHORT,3,High
C0758,31,SHORT,0,Medium
C0759,34,SHORT,3,Medium
C0760,40,SHORT,2,Low
C0761,25,LONG,7,High
C0762,48,LONG,14,Low
C0763,9,SHORT,16,High
C0764,2,SHORT,21,Medium
C0765,21,LONG,14,Low
C0766,18,LONG,4,Low
C0767,35,SHORT,18,Low
C0768,30,LONG,16,Low
C0769,41,LONG,11,Medium
C0770,35,SHORT,2,Medium
C0771,20,LONG,13,Medium
C0772,10,LONG,0,High
C0773,34,SHORT,11,Medium
C0774,31,SHORT,22,Medium
C0775,49,LONG,9,High
C0776,50,LONG,9,Low
C0777,15,SHORT,17,Medium
C0778,13,LONG,17,Medium
C0779,26,SHORT,5,Low
C0780,48,LONG,12,High
C0781,17,SHORT,13,Low
C0782,16,LONG,9,Low
C0783,48,LONG,13,High
C0784,5,SHORT,4,Medium
C0785,8,LONG,19,Medium
C0786,18,LONG,6,Medium
C0787,2,SHORT,1,Low
C0788,2,SHORT,3,Medium
C0789,18,SHORT,22,Medium
C0790,47,SHORT,7,High
C0791,10,SHORT,15,High
C0792,22,LONG,9,Medium
C0793,24,LONG,22,High
C0794,22,SHORT,4,High
C0795,18,LONG,2,Low
C0796,31,SHORT,6,Medium
C0797,25,SHORT,3,Low
C0798,16,LONG,14,High
C0799,48,SHORT,6,Medium
C0800,48,SHORT,16,Low
C0801,14,LONG,12,Low
C0802,20,LONG,5,Low
C0803,47,SHORT,23,Low
C0804,34,SHORT,8,Medium
C0805,41,LONG,6,Medium
C0806,4,SHORT,3,High
C0807,41,LONG,10,High
C0808,11,LONG,18,High
C0809,26,SHORT,0,High
C0810,38,LONG,22,Low
C0811,10,LONG,2,High
C0812,11,LONG,2,Low
C0813,40,LONG,20,High
C0814,4,LONG,20,High
C0815,45,SHORT,4,Medium
C0816,15,LONG,17,Low
C0817,49,LONG,14,Low
C0818,13,SHORT,22,Medium
C0819,23,SHORT,8,High
C0820,32,LONG,17,Medium
C0821,35,LONG,6,Low
C0822,12,LONG,10,Low
C0823,30,LONG,19,Low
C0824,11,SHORT,16,High
C0825,29,LONG,8,Low
C0826,24,LONG,0,Low
C0827,33,LONG,23,High
C0828,2,LONG,19,High
C0829,21,SHORT,21,Low
C0830,25,SHORT,16,Low
C0831,32,SHORT,19,Medium
C0832,21,LONG,20,Medium
C0833,8,SHORT,16,Low
C0834,5,SHORT,4,High
C0835,3,SHORT,3,Medium
C0836,13,SHORT,1,Low
C0837,42,LONG,21,Medium
C0838,34,LONG,1,Medium
C0839,15,SHORT,0,High
C0840,42,LONG,2,Medium
C0841,41,SHORT,11,Low
C0842,48,LONG,11,Low
C0843,4,LONG,16,High
C0844,47,SHORT,9,High
C0845,14,SHORT,3,Low
C0846,15,LONG,6,High
C0847,34,SHORT,18,Low
C0848,12,LONG,23,High
C0849,50,LONG,21,Medium
C0850,45,LONG,3,High
C0851,12,LONG,16,Medium
C0852,43,SHORT,17,Low
C0853,29,LONG,10,Low
C0854,21,LONG,13,Low
C0855,28,LONG,19,High
C0856,37,SHORT,12,Low
C0857,48,LONG,11,Medium
C0858,29,LONG,0,Low
C0859,3,LONG,19,High
C0860,34,SHORT,9,High
C0861,20,SHORT,6,Medium
C0862,2,LONG,17,Low
C0863,36,SHORT,3,High
C0864,30,LONG,4,High
C0865,17,LONG,18,High
C0866,15,LONG,9,High
C0867,37,LONG,18,High
C0868,47,SHORT,23,Medium
C0869,31,SHORT,15,Low
C0870,45,SHORT,19,Low
C0871,20,SHORT,23,Low
C0872,25,SHORT,1,Medium
C0873,23,LONG,13,High
C0874,50,SHORT,23,Low
C0875,39,SHORT,20,Low
C0876,25,SHORT,9,Low
C0877,3,LONG,17,Low
C0878,10,LONG,16,Low
C0879,15,SHORT,1,Low
C0880,47,LONG,14,Low
C0881,37,SHORT,7,Medium
C0882,19,LONG,4,High
C0883,22,SHORT,15,Low
C0884,48,SHORT,17,Medium
C0885,17,SHORT,12,Low
C0886,28,SHORT,4,Medium
C0887,36,SHORT,15,Medium
C0888,42,SHORT,17,Low
C0889,48,SHORT,7,High
C0890,18,LONG,10,Low
C0891,37,SHORT,3,Low
C0892,27,LONG,11,Medium
C0893,13,LONG,11,Low
C0894,42,SHORT,9,High
C0895,23,LONG,19,High
C0896,29,SHORT,7,High
C0897,44,LONG,4,Low
C0898,6,SHORT,23,High
C0899,16,SHORT,9,High
