creator_id,platform,content_type,time_slot,avg_engagement
4,Instagram,LONG,2,0.55
4,Instagram,LONG,17,0.55
4,YouTube,SHORT,5,0.89
4,YouTube,SHORT,14,0.95
4,YouTube,SHORT,17,0.9
4,YouTube,SHORT,22,0.78
4,YouTube,SHORT,9,0.92
4,YouTube,LONG,21,1.01
4,YouTube,LONG,3,0.95
4,YouTube,LONG,4,1.02
4,YouTube,LONG,8,1.04
4,YouTube,LONG,23,0.94
5,Instagram,SHORT,8,1.46
5,Instagram,SHORT,16,1.51
5,Instagram,SHORT,15,1.29
5,Instagram,SHORT,1,1.37
5,Instagram,SHORT,2,1.31
5,Instagram,LONG,5,1.46
5,Instagram,LONG,23,1.33
5,Instagram,LONG,14,1.35
5,Instagram,LONG,17,1.59
5,Instagram,LONG,22,1.6
5,YouTube,SHORT,11,0.97
5,YouTube,SHORT,18,1.01
5,YouTube,SHORT,17,1.13
5,YouTube,SHORT,4,1.11
5,YouTube,SHORT,13,1.12
5,YouTube,LONG,6,1.85
5,YouTube,LONG,21,1.88
5,YouTube,LONG,7,1.72
5,YouTube,LONG,3,1.79
5,YouTube,LONG,11,1.63
6,Instagram,SHORT,5,1.89
6,Instagram,SHORT,13,1.76
6,Instagram,SHORT,0,1.85
6,Instagram,SHORT,23,1.87
6,Instagram,SHORT,10,1.7
6,Instagram,LONG,22,0.62
6,Instagram,LONG,3,0.7
6,Instagram,LONG,12,0.65
6,Instagram,LONG,1,0.63
6,Instagram,LONG,15,0.7
6,YouTube,SHORT,0,0.7
6,YouTube,SHORT,21,0.66
6,YouTube,SHORT,6,0.77
6,YouTube,SHORT,12,0.71
6,YouTube,SHORT,10,0.73
6,YouTube,LONG,17,1.38
6,YouTube,LONG,10,1.61
6,YouTube,LONG,0,1.41
6,YouTube,LONG,3,1.36
6,YouTube,LONG,8,1.46
7,Instagram,SHORT,10,1.5
7,Instagram,SHORT,13,1.56
7,Instagram,SHORT,19,1.46
7,Instagram,SHORT,16,1.6
7,Instagram,SHORT,3,1.38
7,Instagram,LONG,17,1.41
7,Instagram,LONG,21,1.55
7,Instagram,LONG,23,1.55
7,Instagram,LONG,6,1.46
7,Instagram,LONG,11,1.47
7,YouTube,SHORT,9,0.61
7,YouTube,SHORT,16,0.6
7,YouTube,SHORT,21,0.58
7,YouTube,SHORT,13,0.61
7,YouTube,SHORT,10,0.68
7,YouTube,LONG,5,1.49
7,YouTube,LONG,19,1.32
7,YouTube,LONG,18,1.41
7,YouTube,LONG,9,1.45
7,YouTube,LONG,12,1.5
8,Instagram,SHORT,14,1.53
8,Instagram,SHORT,21,1.58
8,Instagram,SHORT,6,1.51
8,Instagram,SHORT,16,1.49
8,Instagram,SHORT,15,1.38
8,Instagram,LONG,19,1.12
8,Instagram,LONG,10,1.24
8,Instagram,LONG,2,1.08
8,Instagram,LONG,7,1.06
8,Instagram,LONG,21,1.28
8,YouTube,SHORT,2,1.04
8,YouTube,SHORT,14,1.15
8,YouTube,SHORT,13,1.11
8,YouTube,SHORT,20,1.05
8,YouTube,SHORT,18,1.15
8,YouTube,LONG,3,0.63
8,YouTube,LONG,13,0.58
8,YouTube,LONG,7,0.6
8,YouTube,LONG,5,0.68
8,YouTube,LONG,22,0.63
9,Instagram,SHORT,21,1.77
9,Instagram,SHORT,16,1.75
9,Instagram,SHORT,17,1.66
9,Instagram,SHORT,19,1.7
9,Instagram,SHORT,10,1.63
9,Instagram,LONG,17,1.32
9,Instagram,LONG,14,1.4
9,Instagram,LONG,5,1.42
9,Instagram,LONG,23,1.27
9,Instagram,LONG,15,1.4
9,YouTube,SHORT,7,0.94
9,YouTube,SHORT,8,0.94
9,YouTube,SHORT,14,0.95
9,YouTube,SHORT,2,0.99
9,YouTube,SHORT,22,0.91
9,YouTube,LONG,22,0.9
9,YouTube,LONG,4,0.92
9,YouTube,LONG,6,0.9
9,YouTube,LONG,2,0.86
9,YouTube,LONG,13,0.9
10,Instagram,SHORT,18,1.58
10,Instagram,SHORT,22,1.7
10,Instagram,SHORT,0,1.85
10,Instagram,SHORT,12,1.88
10,Instagram,SHORT,15,1.92
10,Instagram,LONG,23,0.87
10,Instagram,LONG,17,0.91
10,Instagram,LONG,19,0.83
10,Instagram,LONG,7,0.89
10,Instagram,LONG,15,0.95
10,YouTube,SHORT,5,0.82
10,YouTube,SHORT,14,0.89
10,YouTube,SHORT,4,0.92
10,YouTube,SHORT,19,0.82
10,YouTube,SHORT,17,0.93
10,YouTube,LONG,14,0.77
10,YouTube,LONG,5,0.79
10,YouTube,LONG,1,0.77
10,YouTube,LONG,8,0.85
10,YouTube,LONG,12,0.76
11,Instagram,SHORT,13,1.9
11,Instagram,SHORT,8,1.65
11,Instagram,SHORT,2,1.98
11,Instagram,SHORT,15,1.71
11,Instagram,SHORT,0,1.66
11,Instagram,LONG,1,1.36
11,Instagram,LONG,0,1.35
11,Instagram,LONG,7,1.51
11,Instagram,LONG,6,1.48
11,Instagram,LONG,19,1.38
11,YouTube,SHORT,11,1.11
11,YouTube,SHORT,5,1.28
11,YouTube,SHORT,19,1.31
11,YouTube,SHORT,23,1.11
11,YouTube,SHORT,22,1.09
11,YouTube,LONG,21,1.03
11,YouTube,LONG,12,1.08
11,YouTube,LONG,22,0.96
11,YouTube,LONG,6,1.05
11,YouTube,LONG,2,0.97
12,Instagram,SHORT,3,1.46
12,Instagram,SHORT,18,1.44
12,Instagram,SHORT,1,1.48
12,Instagram,SHORT,11,1.43
12,Instagram,SHORT,17,1.58
12,Instagram,LONG,3,1.38
12,Instagram,LONG,13,1.31
12,Instagram,LONG,11,1.38
12,Instagram,LONG,20,1.45
12,Instagram,LONG,14,1.26
12,YouTube,SHORT,17,1.33
12,YouTube,SHORT,15,1.26
12,YouTube,SHORT,14,1.24
12,YouTube,SHORT,13,1.42
12,YouTube,SHORT,23,1.25
12,YouTube,LONG,14,1.15
12,YouTube,LONG,18,1.19
12,YouTube,LONG,19,1.15
12,YouTube,LONG,21,1.19
12,YouTube,LONG,12,1.15
13,Instagram,SHORT,8,0.95
13,Instagram,SHORT,19,0.89
13,Instagram,SHORT,22,0.9
13,Instagram,SHORT,17,0.93
13,Instagram,SHORT,0,0.96
13,Instagram,LONG,15,0.68
13,Instagram,LONG,20,0.7
13,Instagram,LONG,22,0.77
13,Instagram,LONG,14,0.71
13,Instagram,LONG,0,0.75
13,YouTube,SHORT,16,0.94
13,YouTube,SHORT,11,1.01
13,YouTube,SHORT,13,0.93
13,YouTube,SHORT,23,0.92
13,YouTube,SHORT,17,0.9
13,YouTube,LONG,3,0.81
13,YouTube,LONG,23,0.91
13,YouTube,LONG,17,0.83
13,YouTube,LONG,22,0.88
13,YouTube,LONG,5,0.91
14,Instagram,SHORT,3,1.28
14,Instagram,SHORT,6,1.24
14,Instagram,SHORT,9,1.38
14,Instagram,SHORT,7,1.31
14,Instagram,SHORT,11,1.5
14,Instagram,LONG,22,1.13
14,Instagram,LONG,4,1.07
14,Instagram,LONG,20,1.05
14,Instagram,LONG,15,1.04
14,Instagram,LONG,3,0.99
14,YouTube,SHORT,15,0.57
14,YouTube,SHORT,3,0.5
14,YouTube,SHORT,2,0.51
14,YouTube,SHORT,12,0.56
14,YouTube,SHORT,18,0.53
14,YouTube,LONG,3,1.97
14,YouTube,LONG,17,1.82
14,YouTube,LONG,13,2.02
14,YouTube,LONG,19,1.79
14,YouTube,LONG,7,1.9
15,Instagram,SHORT,18,1.26
15,Instagram,SHORT,19,1.09
15,Instagram,SHORT,1,1.09
15,Instagram,SHORT,23,1.2
15,Instagram,SHORT,3,1.08
15,Instagram,LONG,2,0.7
15,Instagram,LONG,5,0.67
15,Instagram,LONG,0,0.61
15,Instagram,LONG,13,0.65
15,Instagram,LONG,14,0.64
15,YouTube,SHORT,2,1.38
15,YouTube,SHORT,21,1.44
15,YouTube,SHORT,7,1.28
15,YouTube,SHORT,8,1.25
15,YouTube,SHORT,20,1.28
15,YouTube,LONG,8,0.86
15,YouTube,LONG,4,0.83
15,YouTube,LONG,2,0.86
15,YouTube,LONG,1,0.88
15,YouTube,LONG,5,0.8
16,Instagram,SHORT,9,1.22
16,Instagram,SHORT,22,1.2
16,Instagram,SHORT,12,1.23
16,Instagram,SHORT,8,1.31
16,Instagram,SHORT,16,1.27
16,Instagram,LONG,0,1.12
16,Instagram,LONG,2,1.0
16,Instagram,LONG,7,1.16
16,Instagram,LONG,21,1.17
16,Instagram,LONG,18,1.12
16,YouTube,SHORT,5,1.37
16,YouTube,SHORT,15,1.18
16,YouTube,SHORT,16,1.28
16,YouTube,SHORT,20,1.3
16,YouTube,SHORT,14,1.26
16,YouTube,LONG,11,0.79
16,YouTube,LONG,13,0.71
16,YouTube,LONG,10,0.77
16,YouTube,LONG,21,0.71
16,YouTube,LONG,3,0.8
17,Instagram,SHORT,17,1.56
17,Instagram,SHORT,1,1.52
17,Instagram,SHORT,14,1.73
17,Instagram,SHORT,2,1.76
17,Instagram,SHORT,10,1.75
17,Instagram,LONG,17,0.5
17,Instagram,LONG,14,0.51
17,Instagram,LONG,13,0.5
17,Instagram,LONG,1,0.5
17,Instagram,LONG,6,0.46
17,YouTube,SHORT,4,0.71
17,YouTube,SHORT,9,0.84
17,YouTube,SHORT,14,0.78
17,YouTube,SHORT,22,0.73
17,YouTube,SHORT,15,0.71
17,YouTube,LONG,17,1.3
17,YouTube,LONG,13,1.21
17,YouTube,LONG,2,1.4
17,YouTube,LONG,7,1.31
17,YouTube,LONG,3,1.37
18,Instagram,SHORT,8,1.27
18,Instagram,SHORT,13,1.23
18,Instagram,SHORT,15,1.37
18,Instagram,SHORT,7,1.26
18,Instagram,SHORT,14,1.36
18,Instagram,LONG,8,1.3
18,Instagram,LONG,13,1.31
18,Instagram,LONG,10,1.39
18,Instagram,LONG,16,1.5
18,Instagram,LONG,0,1.36
18,YouTube,SHORT,17,0.64
18,YouTube,SHORT,15,0.63
18,YouTube,SHORT,11,0.61
18,YouTube,SHORT,10,0.67
18,YouTube,SHORT,12,0.66
18,YouTube,LONG,13,0.95
18,YouTube,LONG,1,0.97
18,YouTube,LONG,10,0.9
18,YouTube,LONG,23,0.95
18,YouTube,LONG,15,0.98
19,Instagram,SHORT,15,1.79
19,Instagram,SHORT,1,1.7
19,Instagram,SHORT,4,1.98
19,Instagram,SHORT,16,1.7
19,Instagram,SHORT,18,2.0
19,Instagram,LONG,4,0.54
19,Instagram,LONG,13,0.49
19,Instagram,LONG,20,0.53
19,Instagram,LONG,2,0.5
19,Instagram,LONG,15,0.47
19,YouTube,SHORT,21,0.86
19,YouTube,SHORT,17,0.87
19,YouTube,SHORT,12,0.89
19,YouTube,SHORT,10,0.75
19,YouTube,SHORT,20,0.76
19,YouTube,LONG,9,1.55
19,YouTube,LONG,7,1.49
19,YouTube,LONG,23,1.47
19,YouTube,LONG,2,1.3
19,YouTube,LONG,13,1.32
20,Instagram,SHORT,0,0.97
20,Instagram,SHORT,1,0.93
20,Instagram,SHORT,10,1.01
20,Instagram,SHORT,9,1.01
20,Instagram,SHORT,11,1.06
20,Instagram,LONG,2,0.67
20,Instagram,LONG,19,0.68
20,Instagram,LONG,12,0.63
20,Instagram,LONG,21,0.69
20,Instagram,LONG,7,0.66
20,YouTube,SHORT,14,1.07
20,YouTube,SHORT,9,1.27
20,YouTube,SHORT,21,1.28
20,YouTube,SHORT,17,1.12
20,YouTube,SHORT,5,1.27
20,YouTube,LONG,14,1.37
20,YouTube,LONG,9,1.45
20,YouTube,LONG,6,1.45
20,YouTube,LONG,12,1.43
20,YouTube,LONG,15,1.55
21,Instagram,SHORT,21,0.7
21,Instagram,SHORT,12,0.69
21,Instagram,SHORT,8,0.71
21,Instagram,SHORT,0,0.71
21,Instagram,SHORT,18,0.68
21,Instagram,LONG,9,1.25
21,Instagram,LONG,7,1.27
21,Instagram,LONG,19,1.4
21,Instagram,LONG,11,1.4
21,Instagram,LONG,20,1.38
21,YouTube,SHORT,3,0.58
21,YouTube,SHORT,20,0.62
21,YouTube,SHORT,1,0.59
21,YouTube,SHORT,9,0.69
21,YouTube,SHORT,14,0.61
21,YouTube,LONG,6,1.14
21,YouTube,LONG,4,1.09
21,YouTube,LONG,17,1.07
21,YouTube,LONG,11,1.24
21,YouTube,LONG,16,1.25
22,Instagram,SHORT,9,2.0
22,Instagram,SHORT,23,1.7
22,Instagram,SHORT,10,2.01
22,Instagram,SHORT,3,1.97
22,Instagram,SHORT,14,1.92
22,Instagram,LONG,17,1.41
22,Instagram,LONG,11,1.37
22,Instagram,LONG,2,1.44
22,Instagram,LONG,12,1.55
22,Instagram,LONG,0,1.41
22,YouTube,SHORT,20,0.88
22,YouTube,SHORT,11,0.9
22,YouTube,SHORT,3,0.96
22,YouTube,SHORT,21,0.85
22,YouTube,SHORT,7,0.9
22,YouTube,LONG,20,1.32
22,YouTube,LONG,14,1.3
22,YouTube,LONG,22,1.3
22,YouTube,LONG,9,1.58
22,YouTube,LONG,13,1.32
23,Instagram,SHORT,17,0.95
23,Instagram,SHORT,4,0.96
23,Instagram,SHORT,12,1.0
23,Instagram,SHORT,14,0.9
23,Instagram,SHORT,11,0.96
23,Instagram,LONG,13,0.64
23,Instagram,LONG,20,0.71
23,Instagram,LONG,3,0.59
23,Instagram,LONG,15,0.64
23,Instagram,LONG,19,0.65
23,YouTube,SHORT,11,1.41
23,YouTube,SHORT,3,1.42
23,YouTube,SHORT,21,1.36
23,YouTube,SHORT,17,1.34
23,YouTube,SHORT,20,1.55
23,YouTube,LONG,21,1.09
23,YouTube,LONG,6,1.15
23,YouTube,LONG,20,1.31
23,YouTube,LONG,19,1.26
23,YouTube,LONG,0,1.12
24,Instagram,SHORT,17,1.75
24,Instagram,SHORT,6,1.76
24,Instagram,SHORT,18,1.69
24,Instagram,SHORT,7,1.59
24,Instagram,SHORT,10,1.82
24,Instagram,LONG,17,1.6
24,Instagram,LONG,8,1.38
24,Instagram,LONG,5,1.45
24,Instagram,LONG,3,1.57
24,Instagram,LONG,21,1.51
24,YouTube,SHORT,8,0.52
24,YouTube,SHORT,1,0.54
24,YouTube,SHORT,4,0.51
24,YouTube,SHORT,23,0.54
24,YouTube,SHORT,13,0.52
24,YouTube,LONG,16,0.8
24,YouTube,LONG,7,0.82
24,YouTube,LONG,19,0.76
24,YouTube,LONG,1,0.75
24,YouTube,LONG,23,0.83
25,Instagram,SHORT,15,0.7
25,Instagram,SHORT,12,0.76
25,Instagram,SHORT,13,0.64
25,Instagram,SHORT,21,0.64
25,Instagram,SHORT,3,0.72
25,Instagram,LONG,8,0.59
25,Instagram,LONG,19,0.55
25,Instagram,LONG,20,0.58
25,Instagram,LONG,18,0.54
25,Instagram,LONG,17,0.57
25,YouTube,SHORT,22,1.0
25,YouTube,SHORT,3,0.92
25,YouTube,SHORT,20,1.0
25,YouTube,SHORT,17,0.91
25,YouTube,SHORT,23,0.99
25,YouTube,LONG,23,1.07
25,YouTube,LONG,3,1.23
25,YouTube,LONG,10,1.17
25,YouTube,LONG,13,1.12
25,YouTube,LONG,21,1.03
26,Instagram,SHORT,13,0.74
26,Instagram,SHORT,3,0.74
26,Instagram,SHORT,23,0.74
26,Instagram,SHORT,11,0.71
26,Instagram,SHORT,4,0.68
26,Instagram,LONG,21,0.87
26,Instagram,LONG,13,0.83
26,Instagram,LONG,23,0.87
26,Instagram,LONG,1,0.8
26,Instagram,LONG,9,0.88
26,YouTube,SHORT,3,0.68
26,YouTube,SHORT,11,0.71
26,YouTube,SHORT,17,0.73
26,YouTube,SHORT,8,0.76
26,YouTube,SHORT,18,0.74
26,YouTube,LONG,17,1.4
26,YouTube,LONG,0,1.37
26,YouTube,LONG,19,1.53
26,YouTube,LONG,21,1.41
26,YouTube,LONG,22,1.42
27,Instagram,SHORT,4,0.59
27,Instagram,SHORT,18,0.65
27,Instagram,SHORT,21,0.57
27,Instagram,SHORT,12,0.66
27,Instagram,SHORT,2,0.6
27,Instagram,LONG,10,0.89
27,Instagram,LONG,5,1.0
27,Instagram,LONG,11,0.94
27,Instagram,LONG,9,0.99
27,Instagram,LONG,23,0.86
27,YouTube,SHORT,1,1.3
27,YouTube,SHORT,21,1.25
27,YouTube,SHORT,2,1.24
27,YouTube,SHORT,8,1.2
27,YouTube,SHORT,14,1.32
27,YouTube,LONG,13,0.77
27,YouTube,LONG,3,0.79
27,YouTube,LONG,9,0.7
27,YouTube,LONG,21,0.75
27,YouTube,LONG,18,0.78
28,Instagram,SHORT,9,0.59
28,Instagram,SHORT,6,0.63
28,Instagram,SHORT,4,0.63
28,Instagram,SHORT,8,0.59
28,Instagram,SHORT,10,0.64
28,Instagram,LONG,17,0.78
28,Instagram,LONG,21,0.66
28,Instagram,LONG,11,0.66
28,Instagram,LONG,2,0.79
28,Instagram,LONG,12,0.78
28,YouTube,SHORT,18,1.03
28,YouTube,SHORT,12,1.06
28,YouTube,SHORT,22,1.18
28,YouTube,SHORT,20,1.01
28,YouTube,SHORT,13,1.17
28,YouTube,LONG,22,1.14
28,YouTube,LONG,11,1.22
28,YouTube,LONG,2,1.21
28,YouTube,LONG,13,1.18
28,YouTube,LONG,3,1.15
29,Instagram,SHORT,10,0.97
29,Instagram,SHORT,5,1.05
29,Instagram,SHORT,2,1.13
29,Instagram,SHORT,16,1.02
29,Instagram,SHORT,20,1.1
29,Instagram,LONG,4,1.23
29,Instagram,LONG,7,1.23
29,Instagram,LONG,3,1.39
29,Instagram,LONG,8,1.21
29,Instagram,LONG,6,1.44
29,YouTube,SHORT,14,1.09
29,YouTube,SHORT,18,1.23
29,YouTube,SHORT,21,1.09
29,YouTube,SHORT,20,1.11
29,YouTube,SHORT,19,1.12
29,YouTube,LONG,8,1.29
29,YouTube,LONG,18,1.4
29,YouTube,LONG,1,1.28
29,YouTube,LONG,11,1.38
29,YouTube,LONG,16,1.35
30,Instagram,SHORT,2,1.45
30,Instagram,SHORT,19,1.56
30,Instagram,SHORT,16,1.5
30,Instagram,SHORT,12,1.3
30,Instagram,SHORT,14,1.55
30,Instagram,LONG,6,1.0
30,Instagram,LONG,10,0.98
30,Instagram,LONG,19,0.99
30,Instagram,LONG,15,1.16
30,Instagram,LONG,16,1.04
30,YouTube,SHORT,16,1.26
30,YouTube,SHORT,20,1.33
30,YouTube,SHORT,5,1.22
30,YouTube,SHORT,1,1.24
30,YouTube,SHORT,7,1.18
30,YouTube,LONG,12,1.61
30,YouTube,LONG,13,1.82
30,YouTube,LONG,10,1.71
30,YouTube,LONG,21,1.71
30,YouTube,LONG,19,1.79
31,Instagram,SHORT,8,1.07
31,Instagram,SHORT,23,1.13
31,Instagram,SHORT,21,1.03
31,Instagram,SHORT,19,1.07
31,Instagram,SHORT,4,1.21
31,Instagram,LONG,12,1.15
31,Instagram,LONG,4,1.17
31,Instagram,LONG,19,1.27
31,Instagram,LONG,22,1.27
31,Instagram,LONG,2,1.24
31,YouTube,SHORT,23,1.37
31,YouTube,SHORT,21,1.33
31,YouTube,SHORT,16,1.2
31,YouTube,SHORT,2,1.28
31,YouTube,SHORT,20,1.45
31,YouTube,LONG,15,1.01
31,YouTube,LONG,6,1.11
31,YouTube,LONG,7,1.05
31,YouTube,LONG,4,1.06
31,YouTube,LONG,2,1.1
32,Instagram,SHORT,21,1.19
32,Instagram,SHORT,10,1.2
32,Instagram,SHORT,19,1.33
32,Instagram,SHORT,4,1.32
32,Instagram,SHORT,12,1.39
32,Instagram,LONG,1,1.16
32,Instagram,LONG,13,1.21
32,Instagram,LONG,11,1.17
32,Instagram,LONG,21,1.28
32,Instagram,LONG,23,1.21
32,YouTube,SHORT,9,1.13
32,YouTube,SHORT,15,1.13
32,YouTube,SHORT,6,1.03
32,YouTube,SHORT,11,0.99
32,YouTube,SHORT,21,1.01
32,YouTube,LONG,5,1.17
32,YouTube,LONG,6,1.28
32,YouTube,LONG,19,1.25
32,YouTube,LONG,4,1.4
32,YouTube,LONG,8,1.34
33,Instagram,SHORT,3,1.26
33,Instagram,SHORT,9,1.27
33,Instagram,SHORT,2,1.35
33,Instagram,SHORT,5,1.17
33,Instagram,SHORT,8,1.37
33,Instagram,LONG,11,1.32
33,Instagram,LONG,0,1.25
33,Instagram,LONG,13,1.45
33,Instagram,LONG,1,1.28
33,Instagram,LONG,12,1.19
33,YouTube,SHORT,22,1.37
33,YouTube,SHORT,20,1.53
33,YouTube,SHORT,10,1.49
33,YouTube,SHORT,4,1.33
33,YouTube,SHORT,1,1.49
33,YouTube,LONG,0,1.2
33,YouTube,LONG,2,1.24
33,YouTube,LONG,8,1.19
33,YouTube,LONG,6,1.09
33,YouTube,LONG,4,1.14
34,Instagram,SHORT,1,0.99
34,Instagram,SHORT,7,0.92
34,Instagram,SHORT,13,1.08
34,Instagram,SHORT,20,1.02
34,Instagram,SHORT,19,0.9
34,Instagram,LONG,7,0.91
34,Instagram,LONG,22,0.99
34,Instagram,LONG,4,1.03
34,Instagram,LONG,9,0.95
34,Instagram,LONG,13,1.05
34,YouTube,SHORT,11,1.0
34,YouTube,SHORT,2,1.02
34,YouTube,SHORT,16,1.05
34,YouTube,SHORT,17,1.12
34,YouTube,SHORT,0,0.97
34,YouTube,LONG,2,0.66
34,YouTube,LONG,11,0.68
34,YouTube,LONG,7,0.68
34,YouTube,LONG,23,0.62
34,YouTube,LONG,21,0.59
35,Instagram,SHORT,20,1.3
35,Instagram,SHORT,5,1.22
35,Instagram,SHORT,21,1.21
35,Instagram,SHORT,14,1.36
35,Instagram,SHORT,22,1.42
35,Instagram,LONG,6,0.53
35,Instagram,LONG,1,0.57
35,Instagram,LONG,10,0.53
35,Instagram,LONG,9,0.49
35,Instagram,LONG,16,0.55
35,YouTube,SHORT,1,0.83
35,YouTube,SHORT,20,0.78
35,YouTube,SHORT,10,0.77
35,YouTube,SHORT,8,0.78
35,YouTube,SHORT,3,0.86
35,YouTube,LONG,5,1.0
35,YouTube,LONG,15,0.96
35,YouTube,LONG,22,1.03
35,YouTube,LONG,11,1.03
35,YouTube,LONG,16,1.15
36,Instagram,SHORT,9,0.82
36,Instagram,SHORT,10,0.84
36,Instagram,SHORT,3,0.89
36,Instagram,SHORT,2,0.79
36,Instagram,SHORT,21,0.84
36,Instagram,LONG,23,0.97
36,Instagram,LONG,11,1.0
36,Instagram,LONG,19,0.86
36,Instagram,LONG,13,0.98
36,Instagram,LONG,8,0.93
36,YouTube,SHORT,23,1.08
36,YouTube,SHORT,21,1.05
36,YouTube,SHORT,5,1.0
36,YouTube,SHORT,0,0.94
36,YouTube,SHORT,4,0.96
36,YouTube,LONG,11,1.33
36,YouTube,LONG,12,1.42
36,YouTube,LONG,18,1.39
36,YouTube,LONG,1,1.42
36,YouTube,LONG,19,1.31
37,Instagram,SHORT,11,0.76
37,Instagram,SHORT,12,0.74
37,Instagram,SHORT,10,0.83
37,Instagram,SHORT,20,0.8
37,Instagram,SHORT,8,0.78
37,Instagram,LONG,8,1.02
37,Instagram,LONG,22,1.15
37,Instagram,LONG,14,1.06
37,Instagram,LONG,6,0.98
37,Instagram,LONG,19,1.14
37,YouTube,SHORT,22,0.98
37,YouTube,SHORT,14,0.99
37,YouTube,SHORT,2,0.96
37,YouTube,SHORT,21,0.91
37,YouTube,SHORT,10,0.91
37,YouTube,LONG,22,0.78
37,YouTube,LONG,20,0.9
37,YouTube,LONG,5,0.87
37,YouTube,LONG,11,0.78
37,YouTube,LONG,16,0.82
38,Instagram,SHORT,18,1.1
38,Instagram,SHORT,11,0.99
38,Instagram,SHORT,14,1.04
38,Instagram,SHORT,17,1.18
38,Instagram,SHORT,4,1.12
38,Instagram,LONG,13,1.05
38,Instagram,LONG,18,1.02
38,Instagram,LONG,2,1.06
38,Instagram,LONG,4,0.99
38,Instagram,LONG,10,1.1
38,YouTube,SHORT,20,1.28
38,YouTube,SHORT,18,1.37
38,YouTube,SHORT,5,1.37
38,YouTube,SHORT,4,1.28
38,YouTube,SHORT,13,1.23
38,YouTube,LONG,22,0.88
38,YouTube,LONG,7,0.79
38,YouTube,LONG,11,0.85
38,YouTube,LONG,16,0.84
38,YouTube,LONG,9,0.77
39,Instagram,SHORT,17,1.02
39,Instagram,SHORT,2,1.02
39,Instagram,SHORT,16,0.94
39,Instagram,SHORT,20,1.03
39,Instagram,SHORT,5,1.08
39,Instagram,LONG,18,0.88
39,Instagram,LONG,1,0.8
39,Instagram,LONG,0,0.79
39,Instagram,LONG,2,0.85
39,Instagram,LONG,20,0.86
39,YouTube,SHORT,20,0.56
39,YouTube,SHORT,17,0.55
39,YouTube,SHORT,9,0.51
39,YouTube,SHORT,15,0.48
39,YouTube,SHORT,7,0.48
39,YouTube,LONG,15,1.09
39,YouTube,LONG,14,1.26
39,YouTube,LONG,6,1.13
39,YouTube,LONG,10,1.29
39,YouTube,LONG,19,1.14
40,Instagram,SHORT,11,1.07
40,Instagram,SHORT,16,1.04
40,Instagram,SHORT,17,1.11
40,Instagram,SHORT,3,1.04
40,Instagram,SHORT,10,1.02
40,Instagram,LONG,19,1.57
40,Instagram,LONG,13,1.51
40,Instagram,LONG,7,1.36
40,Instagram,LONG,5,1.35
40,Instagram,LONG,10,1.59
40,YouTube,SHORT,9,0.97
40,YouTube,SHORT,15,1.06
40,YouTube,SHORT,0,0.91
40,YouTube,SHORT,2,0.94
40,YouTube,SHORT,12,0.88
40,YouTube,LONG,20,1.12
40,YouTube,LONG,21,1.15
